,PROPNUM,API,WELL,D_DATE,OIL (BBL),GAS (MCF),WATER (BBL),CASING_PRESS (PSI),TUBING_PRESS (PSI),CHOKE (/64THS INCH)
187,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/17/2014,104.48,29.38,109.0,70.0,305.0,0.0
188,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/18/2014,102.47,29.47,108.0,60.0,300.0,0.0
189,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/19/2014,103.82,29.72,105.0,60.0,320.0,0.0
190,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/20/2014,104.03,29.61,97.0,75.0,300.0,0.0
191,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/21/2014,107.46,29.15,93.0,60.0,300.0,0.0
192,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/22/2014,93.58,28.41,83.0,60.0,300.0,0.0
193,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/23/2014,99.84,29.25,80.0,60.0,320.0,0.0
194,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/24/2014,98.91,29.08,85.0,60.0,300.0,0.0
195,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/25/2014,87.89,29.33,99.0,60.0,90.0,0.0
196,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/26/2014,88.47,23.45,68.0,70.0,300.0,0.0
197,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/27/2014,91.75,32.12,64.0,60.0,300.0,0.0
198,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/28/2014,94.06,36.94,85.0,60.0,300.0,0.0
199,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/29/2014,93.15,31.78,96.0,60.0,300.0,0.0
200,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/30/2014,95.06,37.37,110.0,60.0,300.0,0.0
201,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,5/31/2014,94.16,31.58,111.0,60.0,300.0,0.0
202,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,6/1/2014,94.0,36.55,105.0,60.0,290.0,0.0
203,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,6/2/2014,91.93,36.72,111.0,60.0,280.0,0.0
204,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,6/3/2014,100.1,34.51,120.0,60.0,320.0,0.0
205,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,6/4/2014,83.89,32.7,102.0,60.0,300.0,0.0
206,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,6/5/2014,102.48,36.9,96.0,60.0,300.0,0.0
207,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,6/6/2014,85.08,36.67,84.0,60.0,300.0,0.0
208,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,6/7/2014,93.39,30.09,82.0,60.0,300.0,0.0
209,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,6/8/2014,94.0,37.74,73.0,60.0,300.0,0.0
